gaugeID,Lat,Lon,Row_Lon,Col_Lat,Area/m2 
02GG003,43.001839,-81.703186,25,19,9.5190922151e+07
02GG003,42.702324,-82.104584,22,20,1.9491985637e+07
02GG003,42.821987,-82.027771,23,20,1.7820639539e+07
02GG003,42.941566,-81.950562,24,20,3.0239964528e+07
02GG003,43.061069,-81.872925,25,20,1.2312184271e+07
02GG006,43.001839,-81.703186,25,19,1.3912309670e+06
02GG006,42.821987,-82.027771,23,20,2.9976568042e+06
02GG006,42.941566,-81.950562,24,20,1.2020720627e+08
02GG006,43.061069,-81.872925,25,20,7.0230543291e+07
02GG006,42.880577,-82.197449,23,21,1.1825502010e+07
02GG006,43.000347,-82.120453,24,21,3.4107527901e+07
02GG009,42.882542,-81.781006,24,19,54985.3537318148
02GG009,43.001839,-81.703186,25,19,1.3912309670e+06
02GG009,42.821987,-82.027771,23,20,3.5534213952e+07
02GG009,42.941566,-81.950562,24,20,1.8480044047e+08
02GG009,43.061069,-81.872925,25,20,7.0230543291e+07
02GG009,42.760719,-82.274078,22,21,3.1778853724e+07
02GG009,42.880577,-82.197449,23,21,1.5001798616e+08
02GG009,43.000347,-82.120453,24,21,3.6164864263e+07
02GG009,42.818855,-82.443848,22,22,2.8925194848e+06
02GG009,42.938911,-82.367462,23,22,4.1310224963e+06
02GG013,42.763153,-81.858429,23,19,1.1770319161e+06
02GG013,42.882542,-81.781006,24,19,1.3563829662e+06
02GG013,42.702324,-82.104584,22,20,3.7489085464e+07
02GG013,42.821987,-82.027771,23,20,1.7153940284e+08
02GG013,42.941566,-81.950562,24,20,4.1390403928e+06
02GG013,42.760719,-82.274078,22,21,4.7080193525e+07
02GG013,42.880577,-82.197449,23,21,2.0559090249e+07
04159492,43.054817,-82.708435,23,24,3.6349515669e+07
04159492,43.175182,-82.632050,24,24,1.3560347016e+08
04159492,43.295456,-82.555237,25,24,5.9268815832e+07
04159492,43.112400,-82.879395,23,25,3.3880858864e+07
04159492,43.232952,-82.803223,24,25,2.1320657973e+08
04159492,43.353424,-82.726624,25,25,2.2479038832e+08
04159492,43.473808,-82.649658,26,25,5.2903282764e+07
04159492,43.169724,-83.050659,23,26,2.5673695774e+07
04159492,43.290459,-82.974731,24,26,7.7003640489e+07
04159492,43.411121,-82.898376,25,26,8.4452834094e+07
04159492,43.531704,-82.821594,26,26,1.6955714853e+08
04159492,43.652203,-82.744415,27,26,5.9468348380e+07
04159492,43.589348,-82.993866,26,27,1.6963920420e+06
04159492,43.710026,-82.916901,27,27,1.4899772294e+06
04159900,43.054817,-82.708435,23,24,3.3606792590e+07
